Dates,03-12-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
9 Iron,2,98.6,R9.1,27.9,6791,R5.6,6759,R657,33.2,127.9,129.1,R24.1,51.6,L0.0,L0.0,0.0,0.0
9 Iron,3,102.6,R6.2,28.5,5925,L11.4,5809,L1166,36.9,136.4,137.8,R0.8,52.9,R11.7,R4.4,1.0,37.5
9 Iron,4,101.0,R7.3,28.8,6196,L3.6,6183,L390,36.3,132.6,133.9,R11.5,52.8,R9.7,R6.7,0.4,38.1
9 Iron,5,96.8,R7.4,29.6,5843,L1.5,5841,L153,34.3,126.9,128.4,R13.5,52.5,R10.0,R6.8,1.7,38.6
9 Iron,6,99.2,R7.6,27.4,6469,R1.7,6466,R191,33.1,130.0,131.5,R17.5,51.3,R7.7,R8.2,-0.5,36.4
9 Iron,7,103.0,R0.6,25.2,6490,L5.6,6459,L636,32.9,137.3,139.0,L4.9,50.4,R4.6,L0.4,-1.2,33.8
,Average,99.0,R5.8,27.6,6240,L6.0,6150,L627,33.0,130.0,131.6,R5.9,51.3,R8.5,R3.7,0.4,31.8
,Deviation,1.7,3.1,1.5,325,7.8,359,840.6,2.7,5.8,5.7,12.6,1.4,4.2,3.5,1.1,12.2
P-Wedge,0,76.4,R5.6,29.8,6298,L5.7,6267,L624,20.7,92.1,94.3,R5.2,46.8,R17.0,R2.7,2.1,38.5
P-Wedge,1,86.4,R1.9,28.5,6923,L2.4,6917,L293,25.8,108.6,110.1,R1.4,48.9,R7.2,R0.6,-0.8,37.7
P-Wedge,2,91.7,R6.0,30.3,7708,L0.4,7708,L57,31.5,115.0,115.5,R10.5,52.0,R10.0,R5.0,0.1,39.9
P-Wedge,3,92.1,R5.5,25.4,7304,L3.3,7292,L417,26.1,118.2,119.9,R7.4,47.7,R9.7,R4.4,-0.1,33.6
P-Wedge,4,90.8,R2.2,26.1,7859,L13.2,7652,L1792,25.9,115.1,116.3,L7.2,48.0,R10.7,R0.1,-1.6,34.9
P-Wedge,5,93.0,R4.7,30.3,6699,L6.9,6651,L801,32.1,118.0,119.0,R2.5,52.1,R9.3,R3.5,-0.1,40.0
P-Wedge,6,82.3,R8.9,31.3,7696,R6.2,7651,R832,26.1,100.3,101.0,R18.6,50.3,R10.2,R9.4,1.4,40.7
P-Wedge,7,88.9,R6.4,27.4,8466,L0.4,8466,L56,26.8,111.8,112.5,R11.0,49.0,R9.3,R5.7,-0.9,36.3
P-Wedge,8,91.8,R8.7,31.1,7019,R3.1,7008,R382,32.2,114.9,115.8,R18.7,52.4,L0.0,L0.0,0.0,0.0
P-Wedge,9,95.2,R7.8,18.2,5801,R5.4,5775,R548,18.8,126.0,132.7,R19.9,38.2,R7.4,R7.9,-0.6,24.3
P-Wedge,10,87.2,R2.0,27.5,7642,L9.3,7543,L1230,25.3,109.5,110.7,L3.8,48.2,R9.0,R0.2,-0.7,36.3
P-Wedge,11,83.5,R7.3,28.9,7895,R5.5,7859,R756,24.6,103.2,104.1,R16.0,48.6,R6.6,R7.5,-2.9,38.7
P-Wedge,12,91.3,R7.7,29.0,8524,R3.5,8509,R516,30.1,114.2,114.6,R17.2,51.1,R8.1,R8.3,-1.6,38.7
P-Wedge,13,94.9,R7.3,28.3,7609,R2.8,7600,R365,31.3,120.8,121.7,R16.7,51.0,R5.7,R7.7,-2.2,37.9
P-Wedge,14,94.7,R4.0,24.0,7652,R1.3,7650,R174,26.2,122.3,123.9,R9.0,47.2,R4.7,R4.6,-1.7,32.3
,Average,89.3,R5.7,27.7,7406,L0.9,7370,L113,26.9,112.7,114.1,R9.5,48.8,R8.3,R4.5,-0.6,34.0
,Deviation,2.3,2.3,3.3,723,5.6,721,728.9,3.5,7.9,8.4,8.3,3.3,3.5,3.1,1.3,9.9
G-Wedge,0,55.9,R2.5,27.7,6444,R1.5,6441,R165,9.4,55.3,59.1,R2.5,37.2,R2.5,R2.7,-1.6,36.5
G-Wedge,1,47.8,R2.8,29.1,5983,R12.0,5851,R1248,7.0,41.7,45.6,R3.2,36.2,L2.5,R4.1,-3.3,38.5
G-Wedge,2,54.4,R4.9,23.9,6126,R8.0,6067,R848,6.9,50.2,56.5,R5.1,31.7,R3.3,R5.3,-2.9,31.9
G-Wedge,3,61.9,R7.0,32.4,7084,R4.0,7067,R491,14.8,66.8,68.6,R8.7,44.7,L0.0,L0.0,0.0,0.0
G-Wedge,4,63.9,R9.1,24.2,6996,R16.2,6719,R1949,10.3,67.5,72.3,R14.1,35.4,R6.9,R9.6,-0.5,31.8
G-Wedge,5,68.3,R11.4,-0.2,1319,R16.4,-1266,R372,0.0,0.5,87.1,R0.1,NaN,R9.4,R11.9,-2.4,0.9
G-Wedge,6,62.4,R3.7,29.4,7144,R3.1,7133,R382,13.2,67.6,69.9,R4.9,41.7,R3.7,R4.1,-0.5,38.5
G-Wedge,7,62.3,R7.0,26.7,8224,R10.5,8085,R1505,11.5,66.3,68.9,R10.4,38.6,R2.8,R8.0,-4.2,35.9
G-Wedge,8,67.7,R6.7,32.2,6706,R7.3,6651,R857,17.7,76.9,78.6,R11.1,46.5,L0.0,L0.0,0.0,0.0
G-Wedge,9,65.2,R5.1,27.3,7761,R9.3,7660,R1247,13.2,71.9,74.3,R9.0,40.3,R1.5,R6.0,-5.0,36.9
G-Wedge,10,73.3,R4.0,30.2,7095,R4.2,7075,R523,19.5,86.6,88.2,R7.7,46.3,R3.9,R4.2,-1.8,40.0
G-Wedge,11,75.2,R1.3,29.5,7092,L4.0,7075,L489,20.0,90.0,91.6,L0.3,46.4,R3.1,R0.8,-1.5,39.0
G-Wedge,12,68.9,R10.6,31.9,7153,R5.7,7117,R716,18.3,78.7,80.2,R15.7,46.5,R9.2,R11.0,1.5,41.3
G-Wedge,13,76.5,R3.9,29.0,8016,L0.3,8016,L38,20.6,91.9,93.0,R5.6,46.5,R7.5,R3.0,-1.9,38.5
G-Wedge,14,86.3,R2.1,30.2,7871,L8.5,7784,L1167,27.7,106.8,107.4,L3.3,50.6,L0.0,L0.0,0.0,0.0
G-Wedge,15,76.7,R7.5,32.1,8966,R0.1,8966,R16,23.6,90.4,90.6,R10.8,49.9,R9.8,R7.6,0.3,42.0
G-Wedge,16,67.1,R8.8,33.8,5453,L3.7,5442,L351,18.3,76.0,78.5,R9.3,47.6,R14.3,R7.4,2.4,43.5
G-Wedge,17,71.1,R7.0,32.4,7275,L2.7,7267,L345,20.0,82.3,83.5,R7.8,47.7,0.0,0.0,0.0,0.0
G-Wedge,18,72.2,R6.8,32.9,7226,R2.9,7217,R366,21.0,83.9,85.1,R10.6,48.6,L0.0,L0.0,0.0,0.0
G-Wedge,19,73.1,R7.2,31.7,7906,R2.2,7900,R298,20.8,85.5,86.4,R10.9,48.0,R7.5,R7.5,-0.2,41.5
G-Wedge,20,72.5,R4.4,27.2,8728,R4.5,8701,R690,17.0,84.8,86.0,R8.2,43.4,R3.1,R4.7,-3.6,36.6
