Dates,03-17-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
7 Iron,17,114.7,R10.7,26.2,6451,R5.1,6425,R574,43.3,154.7,155.6,R33.6,54.0,R10.2,R10.8,2.0,34.4
7 Iron,18,112.1,R6.2,24.0,4555,L10.7,4476,L849,36.9,161.9,165.3,R2.2,49.9,R10.9,R5.1,2.2,31.4
,Average,112.1,R7.3,23.3,5012,R0.5,4980,R77,36.5,158.8,162.3,R18.9,49.5,R9.6,R6.8,0.7,30.9
,Deviation,1.9,2.1,3.5,664,6.5,667,553.4,6.4,7.1,6.8,11.8,5.7,2.0,2.7,1.1,4.6
8 Iron,0,104.9,R4.6,26.4,6593,L8.2,6526,L940,35.8,139.3,140.5,R0.5,51.9,R10.4,R3.2,1.4,34.7
8 Iron,1,108.5,R2.2,24.2,6153,L14.7,5952,L1562,35.0,147.8,149.7,L12.9,50.8,R11.0,R0.0,1.0,32.0
8 Iron,2,106.8,R7.2,25.9,6751,R1.0,6750,R116,36.7,142.1,143.1,R17.6,52.1,R7.2,R7.6,1.1,34.2
8 Iron,3,111.9,R1.9,26.6,5395,L12.9,5259,L1203,41.5,154.9,156.4,L12.7,53.5,R11.2,L0.4,1.4,35.1
8 Iron,4,105.9,R5.3,27.5,6679,L11.6,6543,L1343,37.7,139.4,140.4,L2.3,52.9,R11.6,R3.7,2.1,35.9
8 Iron,5,107.8,R7.7,27.3,4633,L6.9,4600,L553,39.3,151.4,153.8,R10.1,52.6,R11.5,R6.7,0.3,36.2
8 Iron,6,113.1,R3.6,7.9,2778,L5.2,2767,L253,9.0,145.3,173.6,R4.6,20.0,R11.8,R1.5,1.2,10.6
8 Iron,7,107.4,R4.0,7.7,3000,R0.7,3000,R39,7.7,131.0,159.7,R8.7,18.8,R9.3,R3.4,1.5,10.3
8 Iron,8,105.0,R11.5,28.0,7223,R10.9,7093,R1364,37.6,135.6,136.3,R37.3,53.0,R9.4,R12.0,1.0,36.9
8 Iron,9,101.6,R5.0,25.9,5818,L1.4,5816,L139,33.1,137.7,139.7,R9.4,50.6,R9.7,R3.8,1.7,33.9
8 Iron,10,100.8,R8.0,29.3,5480,L2.5,5475,L239,37.1,135.0,136.6,R14.5,53.1,R11.1,R7.2,2.1,38.2
8 Iron,11,108.4,R5.7,27.6,6462,L2.0,6458,L226,40.5,144.0,144.9,R10.5,53.7,R8.8,R4.9,1.5,36.4
8 Iron,12,100.0,R7.8,28.9,5494,L8.5,5434,L809,35.8,134.0,135.7,R7.8,52.7,R12.0,R6.8,2.3,37.6
8 Iron,13,104.8,R6.6,27.2,6843,L1.1,6841,L131,36.8,137.6,138.6,R13.3,52.5,R7.9,R6.3,1.6,35.6
,Average,106.2,R5.8,24.3,5664,L4.5,5608,L420,33.1,141.1,146.4,R7.6,47.7,R10.2,R4.8,1.4,32.0
,Deviation,1.6,2.5,6.9,1321,6.5,1301,714.6,9.4,6.1,9.7,12.2,11.6,1.5,3.2,0.5,8.9
9 Iron,0,97.8,R3.2,25.2,6535,L3.2,6525,L360,29.4,129.0,130.8,R3.5,49.1,R10.1,R1.5,-1.3,33.8
9 Iron,1,93.3,R5.5,29.9,7886,R1.5,7883,R207,32.2,117.0,117.6,R11.7,52.0,R5.5,R5.7,1.5,39.0
9 Iron,2,97.2,R5.8,28.4,7526,L2.8,7517,L369,32.9,124.2,124.8,R8.5,51.7,R11.7,R4.3,-0.2,37.6
9 Iron,3,97.5,R8.7,31.4,8091,R5.1,8059,R716,36.9,121.0,121.2,R22.1,54.0,R5.8,R9.4,1.1,41.2
9 Iron,4,100.6,R4.8,29.7,7596,L5.0,7567,L662,36.8,127.5,128.0,R4.2,53.3,R7.7,R4.1,1.3,39.0
9 Iron,5,97.3,R6.9,31.3,7391,R2.6,7383,R332,36.4,121.8,122.3,R16.0,53.8,R5.4,R7.3,1.9,40.9
9 Iron,6,98.2,R6.3,31.1,7239,L5.9,7200,L749,36.7,123.5,124.0,R6.1,53.8,R10.3,R5.3,2.1,40.5
9 Iron,7,98.8,R6.6,29.5,7145,R8.4,7068,R1049,35.1,125.9,126.7,R22.1,52.7,R6.6,R6.8,0.1,39.0
9 Iron,8,100.1,R5.3,27.8,8336,R1.4,8333,R207,34.5,127.6,127.9,R12.3,52.1,R7.5,R5.5,-0.2,36.9
9 Iron,9,97.0,R9.1,24.4,6120,R11.7,5993,R1239,27.5,128.8,131.3,R29.4,47.8,R8.7,R9.2,0.5,32.2
9 Iron,10,98.9,R5.2,24.7,6552,L1.6,6550,L185,29.5,131.0,132.9,R9.3,48.9,R9.0,R4.3,0.6,32.6
9 Iron,11,101.6,R7.8,31.7,7178,R4.2,7159,R525,40.1,127.5,127.9,R20.5,54.9,R6.7,R8.0,2.0,41.5
