Dates,03-18-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
L-Wedge,19,25.9,R3.0,28.2,3545,R2.7,3541,R165,1.8,12.6,16.3,R0.6,29.9,R2.3,R3.2,-2.6,36.9
L-Wedge,20,28.4,R3.4,28.7,4199,R11.9,4109,R864,2.3,15.2,19.1,R1.0,30.6,R2.1,R3.7,-6.4,38.5
L-Wedge,21,46.3,R0.5,16.6,4909,R8.2,4859,R698,2.5,29.2,41.2,R0.6,19.6,L1.4,R0.9,-6.5,23.3
L-Wedge,22,35.0,R5.1,31.1,5287,R8.1,5234,R747,4.0,23.8,27.1,R2.3,34.9,R2.8,R5.7,-3.7,40.9
L-Wedge,23,38.8,R3.1,28.5,6438,R2.2,6433,R248,4.4,28.2,31.7,R1.5,33.0,R3.4,R3.6,-6.0,38.3
L-Wedge,24,37.3,R2.4,30.4,5130,R5.2,5109,R466,4.4,26.6,30.4,R1.3,34.7,R1.8,R2.6,-5.8,40.6
L-Wedge,25,35.9,R1.4,30.3,5600,R9.3,5526,R907,4.1,24.7,28.2,R1.0,34.1,L3.5,R2.6,-4.6,40.1
L-Wedge,26,35.9,R3.6,32.3,5282,R7.1,5242,R648,4.5,25.2,28.3,R1.8,36.4,R3.3,R3.7,-1.6,41.9
L-Wedge,27,36.3,R3.4,29.9,5045,R6.1,5017,R531,4.1,25.1,29.0,R1.6,33.8,R3.6,R3.8,-5.6,39.9
L-Wedge,28,42.2,R0.7,22.9,5544,R5.7,5517,R548,3.6,29.6,36.4,R0.6,26.9,R0.9,R1.4,-6.2,31.2
L-Wedge,29,38.9,0.0,22.9,5294,R6.6,5259,R606,3.0,25.1,31.7,R0.3,26.0,L0.4,R0.1,-6.0,31.1
L-Wedge,30,21.1,R7.7,32.6,2591,R4.4,2583,R198,1.5,8.9,11.7,R1.1,33.8,R13.7,R7.0,2.2,41.1
L-Wedge,31,30.1,R3.5,28.0,4368,R3.9,4358,R297,2.4,17.0,21.0,R1.0,30.5,R1.9,R3.9,-4.5,37.1
L-Wedge,32,28.7,R5.0,30.4,3896,R7.0,3867,R473,2.5,16.0,19.7,R1.4,32.8,R3.0,R5.5,-3.2,39.8
L-Wedge,33,28.7,R5.9,30.7,4352,R8.8,4301,R665,2.6,16.1,19.4,R1.7,33.2,R3.1,R6.7,-5.0,40.7
L-Wedge,34,26.8,R3.5,28.6,4439,R14.3,4301,R1098,2.0,13.5,16.9,R0.9,30.4,L1.4,R4.8,-5.8,38.2
L-Wedge,35,23.2,R1.8,26.9,3554,R7.3,3525,R448,1.3,9.8,13.2,R0.3,28.2,R2.2,R2.3,-5.0,35.8
L-Wedge,36,22.4,R2.6,28.8,3776,R8.6,3734,R564,1.4,9.4,12.3,R0.4,29.8,R0.6,R3.1,-3.3,37.6
L-Wedge,37,20.3,R1.8,28.3,2761,R5.2,2750,R248,1.1,7.7,10.6,R0.2,29.0,L3.3,R3.1,-1.5,36.6
L-Wedge,38,20.7,R3.7,26.5,3303,R11.8,3234,R673,1.0,7.7,11.0,R0.5,27.1,0.0,0.0,0.0,0.0
L-Wedge,39,21.3,R2.0,27.6,3087,R3.1,3083,R164,1.2,8.3,11.4,R0.3,28.4,R3.5,R2.4,-5.5,36.8
,Average,36.5,R3.1,28.8,5255,R7.5,5199,R707,4.2,25.8,29.7,R1.8,32.9,R1.8,R3.0,-4.1,33.1
,Deviation,4.1,1.9,3.8,1394,3.2,1371,378.9,2.2,10.6,10.6,1.5,5.2,2.8,2.1,2.3,13.2
